Name,Age,Height_cm,Weight_kg,Preferred_foot,Best_Position,Acceleration,Aggression,Agility,Balance,Ball_Control,Composure,Crossing,Curve,Defensive_Awareness,Dribbling,Finishing,Free_Kick_Accuracy,Heading_Accuracy,Interceptions,Jumping,Long_Passing,Long_Shots,Penalties,Positioning,Reactions,Short_Passing,Shot_Power,Sliding_Tackle,Sprint_Speed,Stamina,Standing_Tackle,Strength,Vision,Volleys,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,GK_Speed,Weak_Foot,Attacking_Work_Rate,Defensive_Work_Rate,Body_Type,Dribbling_Reflexes,Defending_Pace,Physical_Positioning,Pace_Diving,Passing_Kicking,Shooting_Handling
R. Lukaku,28,191,94,Left,ST,81,71,60,52,77,86,73,78,30,83,92,66,89,27,76,70,74,88,89,91,77,89,30,87,71,41,95,75,78,8,15,14,7,10,,4,Medium,Medium,Unique,78,39,83,84,74,87
K. Navas,34,185,80,Right,GK,54,32,60,61,30,67,11,21,28,24,15,15,11,22,74,37,13,25,16,85,40,56,14,53,39,14,75,68,11,89,84,75,87,89,54,3,Medium,Medium,Normal (185+),,,,,,
R. Sterling,26,170,69,Right,LW,95,59,94,93,86,78,79,79,47,87,85,72,46,30,57,69,83,67,91,90,83,78,47,88,79,53,64,82,67,15,12,12,15,9,,3,High,Medium,Unique,87,45,66,91,79,82
Bruno Fernandes,26,179,69,Right,CAM,77,78,80,79,87,87,87,87,72,83,83,87,64,66,73,88,89,91,87,91,91,89,65,73,91,73,70,90,87,12,14,15,8,14,,3,High,High,Unique,84,70,77,75,89,86
E. Haaland,20,194,94,Left,ST,82,85,75,72,85,84,47,77,44,78,94,62,69,43,74,51,87,76,89,88,77,94,30,94,82,43,93,71,88,7,14,13,11,7,,3,High,High,Unique,80,45,88,89,65,91
S. Aguero,33,173,70,Right,ST,75,65,82,90,88,91,70,83,30,86,93,73,78,24,78,64,83,75,91,89,80,90,24,68,62,29,74,80,85,13,15,6,11,14,,4,High,Medium,Unique,87,33,69,71,75,89
H. Lloris,34,188,82,Left,GK,61,31,55,54,34,65,13,11,29,10,10,10,10,27,74,50,14,40,10,85,50,49,18,62,41,10,43,50,11,88,83,65,84,90,61,1,Medium,Medium,Unique,,,,,,
L. Modric,35,172,66,Right,CM,76,62,91,92,90,92,86,85,70,85,72,78,55,80,67,89,82,82,78,88,91,79,71,70,83,75,58,90,76,13,9,7,14,9,,4,Medium,Medium,Lean (170-185),88,72,66,73,89,76
A. Di Maria,33,180,69,Left,RW,83,73,94,76,87,86,88,91,41,88,79,88,51,42,73,82,86,73,84,84,84,83,52,83,78,55,62,88,78,10,7,11,12,11,,2,High,Medium,Unique,87,48,69,83,86,81
W. Szczesny,31,195,90,Right,GK,51,40,55,51,22,65,12,16,20,11,12,14,16,15,71,36,14,18,14,82,32,55,12,47,45,13,65,48,14,86,82,73,87,88,49,3,Medium,Medium,Lean (185+),,,,,,
T. Muller,31,185,76,Right,CAM,66,62,73,71,84,84,85,81,47,77,88,59,81,58,77,79,82,70,96,94,85,78,46,67,86,57,66,85,84,6,7,11,14,14,,4,High,High,Lean (185+),80,56,71,67,83,84
C. Immobile,31,185,85,Right,ST,84,77,75,85,83,79,55,70,34,80,91,51,81,40,82,53,80,88,91,90,80,86,32,87,78,33,76,71,85,6,8,15,12,6,,4,High,Medium,Unique,81,39,77,86,67,87
P. Pogba,28,191,84,Right,CM,63,78,73,67,90,88,77,85,59,88,75,82,74,65,82,92,84,81,80,83,88,90,63,77,77,67,89,89,84,5,6,2,4,3,,4,High,Medium,Unique,86,65,83,71,86,81
M. Verratti,28,165,60,Right,CM,68,89,91,94,92,94,82,85,78,91,60,64,57,85,67,89,58,64,78,87,90,60,84,60,76,82,54,89,64,12,12,15,15,10,,4,Medium,High,Unique,91,79,67,64,87,61
Marquinhos,27,183,75,Right,CB,81,81,69,67,79,86,68,58,89,69,51,32,88,88,92,85,45,52,68,87,84,65,89,81,83,89,78,74,35,6,6,12,10,13,,3,Medium,High,Normal (170-185),74,89,81,81,75,53
L. Goretzka,26,189,82,Right,CM,78,81,76,71,87,82,75,76,74,84,82,75,86,86,79,84,86,60,85,88,86,85,77,83,88,85,88,84,69,13,8,15,11,9,,4,High,Medium,Unique,84,81,86,81,82,82
P. Dybala,27,177,75,Left,CF,88,43,92,94,93,79,82,90,32,90,85,88,59,42,75,79,89,84,82,80,87,84,39,80,70,41,61,91,88,5,4,4,5,8,,3,Medium,Medium,Unique,90,40,60,84,86,86
A. Robertson,27,178,64,Left,LB,83,85,78,74,83,83,88,82,83,81,55,71,67,83,62,76,65,55,77,85,82,76,81,85,95,84,65,80,32,11,8,10,7,14,,2,High,High,Unique,81,82,76,84,81,61
F. de Jong,24,180,74,Right,CM,80,75,88,79,89,90,78,84,76,88,72,64,72,82,76,87,66,45,77,88,91,68,77,82,90,76,74,86,70,7,13,10,10,9,,3,High,Medium,Unique,88,77,78,81,85,69
T. Alexander-Arnold,22,180,69,Right,RB,77,74,73,73,86,81,92,87,80,78,60,85,69,82,66,90,75,55,77,82,86,82,79,80,88,83,63,87,62,14,15,14,6,7,,4,High,Medium,Unique,80,80,72,79,88,68
J. Sancho,21,180,76,Right,RM,85,44,91,90,90,86,82,84,32,92,83,65,38,39,51,70,65,62,83,85,87,73,32,78,77,39,68,87,83,7,11,10,11,13,,3,High,Medium,Unique,91,36,65,81,82,76
Ruben Dias,24,187,82,Right,CB,57,92,59,56,74,81,54,46,90,64,29,48,87,85,78,74,22,45,39,87,81,74,85,65,88,89,88,51,32,7,8,13,7,12,,4,Medium,High,Normal (185+),68,88,88,61,65,38
G. Chiellini,36,187,85,Left,CB,67,88,53,57,57,83,63,60,93,57,33,31,77,89,91,67,49,50,28,80,65,78,88,69,71,89,91,50,45,3,3,2,4,3,,3,Medium,High,Normal (185+),59,89,85,68,60,46
S. Handanovič,36,193,92,Right,GK,45,25,47,36,21,69,12,20,25,18,10,14,10,22,78,40,19,23,12,79,42,49,13,50,41,10,69,41,12,81,81,65,92,87,47,3,Medium,Medium,Unique,,,,,,
M. Hummels,32,191,96,Right,CB,47,71,61,62,79,89,65,66,90,69,57,53,88,89,70,86,49,68,57,88,82,71,86,64,66,90,86,80,61,15,6,10,5,6,,3,High,High,Normal (185+),73,89,77,56,77,59
Jordi Alba,32,170,68,Left,LB,87,75,90,85,85,80,85,80,74,81,73,63,70,81,80,79,66,59,83,80,85,64,80,86,87,78,61,78,60,13,15,13,6,13,,3,High,Medium,Unique,83,77,71,86,81,69
Thiago,30,174,70,Right,CM,72,72,91,90,92,88,78,85,67,90,68,77,54,82,80,89,73,75,75,84,90,75,68,55,74,71,59,85,82,6,11,7,9,13,,3,Medium,Medium,Normal (170-185),90,70,66,63,86,72
Sergio Busquets,32,189,76,Right,CDM,40,81,67,50,86,90,62,66,84,81,67,68,68,85,66,85,54,60,77,86,87,61,81,43,78,82,72,83,44,5,8,13,9,13,,3,Medium,Medium,Lean (185+),80,82,75,42,79,62
Parejo,32,182,74,Right,CM,52,58,63,72,86,85,86,88,70,82,83,90,61,81,49,90,88,88,82,80,92,81,69,49,78,70,70,89,72,5,9,12,14,8,,4,Medium,Medium,Lean (170-185),81,71,69,50,90,83
K. Casteels,29,197,86,Left,GK,44,33,50,43,23,40,15,20,11,14,15,13,14,16,58,37,18,20,15,83,35,60,17,46,44,19,72,42,13,85,83,80,84,87,45,2,Medium,Medium,Normal (185+),,,,,,
L. Insigne,30,163,59,Right,LW,90,34,89,93,93,81,77,87,53,90,76,86,59,26,50,84,82,87,81,79,87,76,22,84,74,24,34,89,74,8,4,14,9,10,,4,High,Medium,Unique,90,36,45,87,85,78
K. Koulibaly,30,187,89,Right,CB,74,83,51,34,64,82,30,28,90,69,22,28,84,85,82,63,15,33,35,83,63,55,86,87,70,88,94,52,14,7,11,7,13,5,,3,Medium,High,Unique,65,87,85,81,51,28
R. Varane,28,191,81,Right,CB,79,80,62,39,78,83,42,46,86,55,46,52,86,85,81,76,53,43,55,84,78,52,87,85,76,88,86,59,42,11,11,9,5,14,,3,Medium,High,Unique,65,87,82,82,64,49
R. Mahrez,30,179,67,Left,RW,84,48,92,88,91,84,81,85,45,91,81,78,48,39,56,75,79,70,80,81,83,79,22,79,75,31,57,84,76,15,9,13,11,6,,4,Medium,Medium,Unique,90,38,60,81,81,79
Gerard Moreno,29,180,77,Left,ST,80,61,77,70,85,78,77,75,44,86,89,62,82,42,76,75,83,85,87,89,81,83,41,78,79,41,75,78,81,15,12,7,12,10,,4,High,Medium,Lean (170-185),84,46,73,79,77,86
J. Vardy,34,179,74,Right,ST,85,87,76,76,82,88,69,68,45,78,90,60,79,49,80,60,67,85,92,91,74,87,54,85,76,52,66,76,84,15,14,7,15,11,,4,High,Medium,Unique,80,52,73,85,70,84
Fabinho,27,188,78,Right,CDM,65,85,64,64,81,84,75,71,86,78,63,53,75,87,75,82,70,90,70,86,84,81,85,68,88,87,81,75,47,13,12,6,8,8,,2,Medium,High,Unique,78,85,83,67,78,69
João Cancelo,27,182,74,Right,RB,86,73,80,78,85,85,86,84,79,85,68,69,72,80,72,78,75,46,80,85,85,80,80,84,90,82,62,83,62,6,9,15,14,14,,4,High,Medium,Unique,84,80,72,85,83,71
A. Laporte,27,191,85,Left,CB,59,81,57,60,78,84,58,61,86,63,45,69,84,87,80,80,47,44,54,87,82,68,86,67,72,87,84,65,40,10,11,5,14,5,,3,Medium,Medium,Unique,69,86,80,63,72,50
K. Coman,25,180,76,Right,LM,94,35,91,84,88,78,79,83,29,89,75,70,61,23,73,74,73,70,85,85,80,80,21,93,69,27,64,81,77,5,3,5,3,5,,3,Medium,Medium,Unique,88,30,60,93,79,76
Bernardo Silva,26,173,64,Left,CAM,83,70,94,92,90,87,85,84,49,92,77,67,51,54,51,76,76,68,83,84,86,76,45,77,93,63,54,84,70,9,10,14,12,9,,3,High,High,Lean (170-185),91,54,67,80,83,76
Marcos Llorente,26,184,74,Right,CM,86,83,82,69,84,83,74,73,79,82,81,58,67,82,69,83,79,64,87,86,86,84,74,90,90,80,79,86,64,13,6,6,11,15,,4,High,Medium,Lean (170-185),82,78,82,88,81,80
Rodri,25,191,82,Right,CDM,60,76,65,65,82,83,63,65,83,78,64,54,78,83,72,83,76,46,75,80,85,83,78,62,87,84,82,81,59,10,10,7,14,8,,4,Medium,High,Normal (185+),78,82,82,61,77,70
M. Škriniar,26,188,80,Right,CB,76,84,54,56,72,87,40,34,90,67,42,30,81,86,84,49,30,56,30,86,72,50,82,84,79,88,86,46,40,10,13,12,8,12,,3,Medium,High,Unique,69,87,84,80,53,41
A. Gómez,33,167,68,Right,CAM,91,56,93,93,86,85,83,85,50,85,77,79,38,40,70,80,82,72,80,86,85,79,34,83,75,30,44,86,72,8,11,12,9,6,,4,High,Medium,Normal (170-),87,39,55,87,84,78
K. Schmeichel,34,189,89,Right,GK,45,35,61,47,40,67,18,13,14,12,12,15,16,20,60,46,14,26,13,82,44,60,13,51,34,14,64,59,15,84,78,80,83,90,47,3,Medium,Medium,Stocky (185+),,,,,,
Thiago Silva,36,183,79,Right,CB,52,76,67,66,79,86,60,62,87,67,40,61,81,88,88,80,65,60,59,82,80,71,84,54,68,86,82,71,61,9,12,5,9,10,,3,Medium,High,Normal (170-185),72,86,78,53,72,54
David Silva,35,173,67,Left,CAM,70,56,84,89,90,91,83,82,58,86,72,77,53,50,61,83,73,75,86,85,90,72,29,57,66,53,45,90,82,6,15,7,6,12,,2,High,Medium,Normal (170-185),87,52,53,63,87,74
Y. Sommer,32,183,79,Right,GK,48,38,55,58,25,57,13,12,9,15,13,13,10,21,73,31,12,24,15,82,40,63,12,54,45,19,68,64,8,79,81,84,86,86,50,4,Medium,Medium,Normal (170-185),,,,,,
E. Cavani,34,185,77,Right,ST,64,81,68,57,81,85,68,76,45,74,89,74,88,54,88,52,77,85,93,90,75,87,39,68,81,48,77,75,86,12,5,13,13,10,,4,High,High,Unique,76,51,79,66,70,86
E. Hazard,30,175,74,Right,LW,86,54,87,89,88,89,77,83,34,89,78,79,61,41,55,81,77,87,83,79,85,82,22,82,77,27,61,84,82,11,12,6,8,8,,4,Medium,Medium,Unique,88,35,63,84,82,80
L. Bonucci,34,190,85,Right,CB,60,82,59,53,79,86,44,56,88,69,48,60,83,86,90,81,65,70,38,82,81,74,81,68,65,85,86,71,58,2,2,3,2,4,,4,Medium,High,Lean (185+),72,86,80,64,69,58
P. Gulacsi,31,191,86,Right,GK,42,34,41,42,25,45,16,18,25,19,10,11,23,23,67,31,12,24,11,81,35,57,20,44,35,16,74,44,10,85,84,76,82,86,43,2,Medium,Medium,Normal (185+),,,,,,
İ. Gundoğan,30,180,80,Right,CM,66,70,77,77,89,87,78,86,76,86,80,80,50,78,61,85,81,80,82,86,88,79,67,65,74,75,73,86,75,11,14,5,5,13,,4,High,Medium,Normal (170-185),86,73,72,65,85,80
M. Reus,32,180,71,Right,CAM,76,51,83,82,86,85,85,88,52,85,84,85,44,49,68,79,83,76,85,86,85,86,54,71,67,38,66,86,85,12,12,13,13,11,,4,High,Medium,Unique,85,47,63,73,84,84
K. Walker,31,183,83,Right,RB,89,84,66,69,81,75,77,76,77,79,51,71,74,80,83,77,69,63,68,85,79,86,83,94,86,84,80,69,57,12,6,16,15,8,,2,High,High,Unique,78,80,82,92,76,63
P. Aubameyang,32,187,80,Right,ST,87,43,77,67,81,87,76,81,20,79,89,76,73,48,75,64,78,83,90,86,77,82,36,91,79,29,74,77,83,6,9,15,9,9,,4,Medium,Low,Unique,80,35,69,89,75,85
Koke,29,176,75,Right,CM,72,79,73,82,83,86,85,85,82,80,72,76,61,83,59,84,80,67,83,88,86,83,70,69,93,81,75,86,56,14,12,5,10,13,,4,Medium,Medium,Normal (170-185),81,79,80,70,85,75
A. Griezmann,30,176,73,Left,ST,80,73,92,83,89,90,83,86,43,85,84,85,83,49,90,82,83,79,89,89,84,82,49,80,86,54,63,85,86,14,8,14,13,14,,3,Medium,Medium,Unique,87,52,72,80,84,84
S. de Vrij,29,189,78,Right,CB,69,77,61,59,75,85,49,45,89,66,25,16,84,87,79,71,60,41,31,85,75,65,85,74,80,87,79,70,27,8,10,7,14,13,,3,Medium,High,Unique,70,87,79,72,64,41
Roberto Firmino,29,181,76,Right,CF,77,75,85,86,90,88,73,81,55,89,78,65,78,58,81,76,76,72,82,86,84,79,42,77,87,64,74,83,83,8,11,9,6,10,,4,High,High,Unique,89,59,78,77,79,78
M. Depay,27,176,78,Right,CF,81,72,80,81,85,80,84,85,23,86,83,83,65,28,69,76,83,76,85,83,81,87,20,83,79,31,83,85,74,8,14,6,12,10,,3,High,Low,Unique,84,30,79,82,82,83
Carvajal,29,173,73,Right,RB,79,84,79,81,83,81,82,76,82,78,51,47,72,81,77,74,47,45,75,83,83,68,84,80,89,82,74,74,49,13,13,15,9,15,,3,High,Medium,Unique,80,81,80,80,78,54
Jorginho,29,180,68,Right,CM,61,79,77,72,87,81,75,75,67,79,64,76,56,81,58,89,62,91,69,82,92,71,71,50,87,81,66,88,71,14,7,13,14,8,,3,Medium,Medium,Lean (170-185),81,73,73,55,86,67
S. Gnabry,25,176,77,Right,RM,90,63,87,88,83,80,74,74,45,88,86,62,42,38,65,78,82,68,86,86,82,87,43,77,78,44,68,83,83,14,10,10,9,7,,4,High,Medium,Unique,86,43,69,83,79,84
S. Milinkovic-Savic,26,191,76,Right,CM,66,79,62,63,86,84,64,80,78,84,80,78,86,78,85,85,80,56,79,83,85,83,74,70,91,79,87,82,74,7,10,7,16,7,,5,High,Medium,Normal (185+),81,79,86,68,80,79
W. Ndidi,24,183,74,Right,CDM,65,87,69,66,77,80,53,60,87,72,50,60,72,90,90,75,70,57,67,88,78,80,85,68,90,90,78,67,68,13,14,7,7,13,,4,Medium,High,Lean (170-185),74,87,83,67,69,62
Oyarzabal,24,181,79,Left,LW,83,52,83,80,85,83,82,77,55,85,84,71,60,29,72,73,81,84,85,81,83,80,30,81,82,32,57,85,74,10,6,10,13,11,,3,High,Medium,Lean (170-185),84,41,63,82,81,82
L. Martínez,23,174,72,Right,ST,86,86,86,89,85,83,56,78,55,83,85,43,87,45,88,73,74,74,86,89,78,80,44,83,80,31,84,81,88,11,8,8,8,13,,4,High,Medium,Unique,85,48,84,84,72,81
M. Rashford,23,186,70,Right,LM,86,73,84,75,84,80,80,83,45,86,83,76,68,42,74,71,81,84,83,84,80,92,33,93,86,38,75,81,73,11,6,15,7,14,,3,High,Medium,Unique,84,43,77,90,79,84
A. Hakimi,22,181,73,Right,RB,95,75,86,79,83,80,86,68,75,84,73,55,68,78,80,73,70,46,78,84,81,77,76,95,91,78,73,75,60,10,8,14,6,8,,4,High,Medium,Lean (170-185),83,76,78,95,78,71
M. de Ligt,21,189,89,Right,CB,71,83,60,62,73,82,52,48,84,65,50,55,85,81,93,63,66,40,44,84,75,82,85,75,75,85,93,45,45,12,11,11,12,10,,3,Medium,High,Unique,69,84,87,73,60,59
Z. Ibrahimovic,39,195,95,Right,ST,64,84,71,53,86,90,72,80,28,78,86,75,83,20,79,73,88,83,89,83,80,88,24,66,52,37,87,84,88,13,15,10,9,12,,4,Medium,Low,Unique,79,34,77,65,78,87
Jesus Navas,35,172,60,Right,RB,90,75,82,84,83,82,85,82,82,84,65,46,73,80,63,79,70,56,81,84,83,74,79,84,82,77,39,83,75,10,10,15,7,13,,2,High,Medium,Lean (170-),83,79,58,87,81,69
Pique,34,194,85,Right,CB,50,79,57,35,80,87,57,58,86,63,65,43,84,85,74,80,51,69,64,85,80,62,83,64,63,85,86,72,57,10,11,14,15,8,,3,High,Medium,Unique,68,85,78,58,71,61
D. Mertens,34,169,61,Right,CF,90,59,93,92,88,81,73,82,23,88,84,82,40,36,58,72,81,79,82,80,84,80,40,80,66,40,37,84,70,7,10,8,10,4,,4,High,Low,Unique,88,34,50,85,80,82
G. Wijnaldum,30,175,74,Right,CM,78,75,84,88,88,86,72,78,79,85,75,73,78,80,81,81,73,74,79,86,87,78,70,76,93,80,74,79,73,16,6,14,12,6,,4,High,High,Unique,86,79,79,77,80,75
J. Henderson,31,182,80,Right,CDM,67,83,69,68,83,82,82,80,79,78,73,74,65,81,78,87,75,64,78,85,85,77,76,66,86,81,78,80,71,7,13,7,9,13,,3,High,High,Normal (170-185),79,78,81,66,83,74
Fernando,33,183,76,Right,CDM,65,85,70,62,78,78,62,65,84,71,54,53,74,85,76,79,68,54,59,83,84,76,83,67,82,85,81,76,56,7,5,9,3,5,,3,Medium,Medium,Lean (170-185),74,83,82,66,75,62
K. Trippier,30,173,69,Right,RB,74,73,73,77,82,77,86,86,79,74,54,82,79,80,78,80,70,66,76,81,81,75,80,73,87,81,64,80,58,11,14,8,11,10,,4,Medium,Medium,Normal (170-185),77,80,72,73,82,63
Iago Aspas,33,176,67,Left,ST,78,63,90,72,86,85,80,79,39,87,89,83,77,39,66,73,81,82,84,84,80,79,18,86,69,21,60,81,83,12,16,9,12,13,,4,High,High,Lean (170-185),86,35,63,82,79,85
De Gea,30,192,82,Right,GK,57,38,63,43,38,63,17,21,25,18,13,19,21,30,67,43,12,29,12,83,48,57,13,58,43,21,55,61,13,86,79,76,79,87,57,3,Medium,Medium,Unique,,,,,,
D. Alaba,29,180,78,Left,CB,78,74,76,77,84,85,80,77,86,77,60,85,74,85,81,80,78,79,73,88,85,82,82,77,75,83,76,78,67,5,7,14,15,9,,4,Medium,Medium,Normal (170-185),80,83,76,77,81,70
Luis Alberto,28,183,74,Right,CAM,61,29,69,83,91,78,69,86,58,85,77,79,49,59,53,90,76,56,76,74,92,78,52,59,75,58,64,92,76,6,8,6,12,11,,3,Medium,Medium,Lean (170-185),84,57,59,60,86,76
D. Tadic,32,181,76,Left,LW,67,56,76,84,87,86,86,85,51,85,83,79,66,41,59,80,77,86,85,83,87,79,26,70,88,34,80,88,80,11,11,14,9,16,,3,Medium,Medium,Unique,85,43,76,69,85,81
W. Ben Yedder,30,170,68,Right,ST,83,62,91,91,87,85,74,82,34,87,88,76,74,44,78,66,74,85,90,86,82,84,26,81,75,33,69,80,84,6,13,9,7,7,,5,High,Low,Unique,87,39,70,82,77,84
L. Digne,27,178,74,Left,LB,81,76,74,78,84,81,88,83,78,78,60,83,71,82,94,73,76,60,73,83,81,83,84,77,86,83,69,75,68,6,12,9,6,13,,2,High,Medium,Unique,80,80,76,79,80,69
J. Iličic,33,190,79,Left,CF,76,58,83,73,88,80,82,85,41,88,85,83,58,46,34,77,89,78,85,80,86,88,26,74,65,32,74,87,83,13,13,8,12,6,,4,Medium,Medium,Lean (185+),86,40,67,75,84,86
E. Martínez,28,195,88,Right,GK,59,37,49,49,35,60,22,22,11,13,16,20,26,13,60,51,16,42,12,80,50,62,20,57,40,20,70,66,13,85,83,82,83,85,58,4,Medium,Medium,Stocky (185+),,,,,,
H. Maguire,28,194,100,Right,CB,47,84,50,41,76,85,51,48,87,71,48,46,87,86,85,84,52,44,61,84,78,75,78,53,82,83,90,70,47,14,16,9,14,9,,3,High,High,Stocky (185+),70,85,87,50,69,55
S. Savic,30,187,80,Right,CB,60,86,59,45,67,80,35,34,90,47,34,28,84,87,86,72,31,37,29,83,73,43,83,67,53,86,83,55,27,14,13,14,13,12,,3,Medium,High,Normal (185+),58,87,76,64,57,35
M. Sabitzer,27,178,76,Right,CM,75,77,75,80,82,80,74,76,71,79,81,78,60,66,71,81,88,72,83,86,84,88,59,81,85,70,76,83,82,11,13,14,15,13,,4,High,High,Normal (170-185),80,67,78,78,81,84
